out:sDA,out:ID,Link_E1c
0.436508,E1c-0.8-S-0.2-15_O-0.2-6028-Yes,https://i.postimg.cc/0yGKpvpZ/E1c-0-8-S-0-2-15-O-0-2-6028-Yes-daylight.png
0.380953,E1c-0.6-S-0.2-15_O-0.2-6028-Yes,https://i.postimg.cc/c1j3WXxf/E1c-0-6-S-0-2-15-O-0-2-6028-Yes-daylight.png
0.436508,E1c-1.4-S-0.2-15_O-0.2-5123-Yes,https://i.postimg.cc/yW4WZpx2/E1c-1-4-S-0-2-15-O-0-2-5123-Yes-daylight.png
0.444444,E1c-1.2-S-0.2-15_O-0.2-5123-Yes,https://i.postimg.cc/C15ZTf96/E1c-1-2-S-0-2-15-O-0-2-5123-Yes-daylight.png
0.539683,E1c-1.0-S-0.2-15_O-0.2-5123-Yes,https://i.postimg.cc/SNCftw6s/E1c-1-S-0-2-15-O-0-2-5123-Yes-daylight.png
0.388889,E1c-0.8-S-0.2-15_O-0.2-5123-Yes,https://i.postimg.cc/Jz3Hb8bx/E1c-0-8-S-0-2-15-O-0-2-5123-Yes-daylight.png
0.325397,E1c-0.6-S-0.2-15_O-0.2-5123-Yes,https://i.postimg.cc/RC8tmXS7/E1c-0-6-S-0-2-15-O-0-2-5123-Yes-daylight.png
0.722222,E1c-1.4-S-0.4-15_O-0.4-6028-No,https://i.postimg.cc/HWJ2bJj8/E1c-1-4-S-0-4-15-O-0-4-6028-No-daylight.png
0.65873,E1c-1.2-S-0.4-15_O-0.4-6028-No,https://i.postimg.cc/DZNS2wTF/E1c-1-2-S-0-4-15-O-0-4-6028-No-daylight.png
0.579365,E1c-1.0-S-0.4-15_O-0.4-6028-No,https://i.postimg.cc/3JmFbPXC/E1c-1-S-0-4-15-O-0-4-6028-No-daylight.png
0.484127,E1c-0.8-S-0.4-15_O-0.4-6028-No,https://i.postimg.cc/Hk08QmwG/E1c-0-8-S-0-4-15-O-0-4-6028-No-daylight.png
0.349206,E1c-0.6-S-0.4-15_O-0.4-6028-No,https://i.postimg.cc/xTzz1M8t/E1c-0-6-S-0-4-15-O-0-4-6028-No-daylight.png
0.626985,E1c-1.4-S-0.4-15_O-0.4-5123-No,https://i.postimg.cc/LhKh1Qh8/E1c-1-4-S-0-4-15-O-0-4-5123-No-daylight.png
0.563492,E1c-1.2-S-0.4-15_O-0.4-5123-No,https://i.postimg.cc/cHzvsLSG/E1c-1-2-S-0-4-15-O-0-4-5123-No-daylight.png
0.492063,E1c-1.0-S-0.4-15_O-0.4-5123-No,https://i.postimg.cc/dtrjSz28/E1c-1-S-0-4-15-O-0-4-5123-No-daylight.png
0.380953,E1c-0.8-S-0.4-15_O-0.4-5123-No,https://i.postimg.cc/Bn5Px3xd/E1c-0-8-S-0-4-15-O-0-4-5123-No-daylight.png
0.253968,E1c-0.6-S-0.4-15_O-0.4-5123-No,https://i.postimg.cc/FsLLH3zZ/E1c-0-6-S-0-4-15-O-0-4-5123-No-daylight.png
0.444444,E1c-1.4-S-0.4-15_O-0.4-6028-Yes,https://i.postimg.cc/NGy4RyLH/E1c-1-4-S-0-4-15-O-0-4-6028-Yes-daylight.png
0.468254,E1c-1.2-S-0.4-15_O-0.4-6028-Yes,https://i.postimg.cc/JnFs1zLM/E1c-1-2-S-0-4-15-O-0-4-6028-Yes-daylight.png
0.587302,E1c-1.0-S-0.4-15_O-0.4-6028-Yes,https://i.postimg.cc/SNCftw6G/E1c-1-S-0-4-15-O-0-4-6028-Yes-daylight.png
0.404762,E1c-0.8-S-0.4-15_O-0.4-6028-Yes,https://i.postimg.cc/9QPwG2d5/E1c-0-8-S-0-4-15-O-0-4-6028-Yes-daylight.png
0.349206,E1c-0.6-S-0.4-15_O-0.4-6028-Yes,https://i.postimg.cc/YqWWCY0X/E1c-0-6-S-0-4-15-O-0-4-6028-Yes-daylight.png
0.444444,E1c-1.4-S-0.4-15_O-0.4-5123-Yes,https://i.postimg.cc/FFfZ0f1f/E1c-1-4-S-0-4-15-O-0-4-5123-Yes-daylight.png
0.436508,E1c-1.2-S-0.4-15_O-0.4-5123-Yes,https://i.postimg.cc/1td893QS/E1c-1-2-S-0-4-15-O-0-4-5123-Yes-daylight.png
0.492063,E1c-1.0-S-0.4-15_O-0.4-5123-Yes,https://i.postimg.cc/m2Cy60Yy/E1c-1-S-0-4-15-O-0-4-5123-Yes-daylight.png
0.36508,E1c-0.8-S-0.4-15_O-0.4-5123-Yes,https://i.postimg.cc/YCNL1715/E1c-0-8-S-0-4-15-O-0-4-5123-Yes-daylight.png
0.261905,E1c-0.6-S-0.4-15_O-0.4-5123-Yes,https://i.postimg.cc/28ZZShyG/E1c-0-6-S-0-4-15-O-0-4-5123-Yes-daylight.png
